actors,boxoffice,directors,time,title,type
"毛舜筠,凌文龙,吕良伟,刘美君",151万,陈大利,"2018,04,28",黄金花,"剧情,爱情,家庭"
"杜安琪,赵东昊",,张耘海,"2018,11,15",守墓人之龙棺海昏侯,"动作,悬疑,冒险,奇幻"
,,李世宏,"2018,02,16",西游记之真假美猴王,
"朱昌龙,曹恺,曹寇,薛峰",262万,刘健,"2018,01,12",大世界,"喜剧,动画,犯罪"
"方逸伦,王秀竹,陈冠霖,黄诗棋",,梁文弋,"2018,06,29",凤皇传,"剧情,喜剧"
"狄龙,宣萱,陈沁霖,陈智深",40万,张爵西,"2018,08,18",我来自纽约,"剧情,家庭"
"周诗琪,郑子寒,胡伊睿,刘一莹",232万,陈静,"2018,07,13",美丽童年,"剧情,家庭"
"刘帅良,余心恬,张译夫,曾丽瑶",32万,王熠,"2018,09,21",中学时代,喜剧
"陈美行,周庚禹,王子航,李哲羽",187万,王静儿,"2018,04,13",凌晨两点半,"恐怖,惊悚"
"米契尔·哈思曼,泰莉莎·帕尔墨,萨姆·里德,梅芙·德莫迪",226万,保罗·柯瑞,"2018,01,26",绝命时钟2:22,"爱情,悬疑"
"周业余,连建亭,于飞,王小雨",21万,殷玉洲,"2018,10,15",沿海出发,"剧情,家庭"
"梁天,安乙荞,文松",184万,"梁青儿,梁小凉","2018,09,14",让我怎么相信你,喜剧
"张颂文,谭卓,顾宝明,董晴",192万,周全,"2018,05,25",西小河的夏天,"剧情,家庭"
"王凯,杨烁,董子健",,"孔笙,黄伟","2018,12,18",大江大河,剧情
"王成思,陶亮,冯秦川",,李智,2018,无疯也起浪,
"彭禺厶,任青安,张蓝艺,冯可",,沈金飞,"2018,10,27",诡墓迷灯,"悬疑,惊悚,恐怖,冒险"
"禹祥,绿绮,莫谦,吴璇",185万,刘骏,"2018,08,31",足球王者,"动画,运动,家庭"
"范楚绒,洪海天,李晔,谭满堂",7266万,申宇,"2018,06,01",潜艇总动员：海底两万里,动画
"田天,温新宇,李桂苓,冯淑燕",73万,蔡成杰,"2018,07,20",北方一片苍茫,剧情
"韩庚,杰瑞米·埃尔卡伊姆,菅纫姿,海伦·文森特",402万,王超,"2018,04,13",寻找罗麦,"剧情,爱情"
"廖凡,宋佳,蒋雯丽,金士杰",5472万,徐浩峰,"2015,12,10",师父,"剧情,动作,武侠"
"小沈阳,陈意涵,吴樾,罗海琼",1784万,刘仪伟,"2018,03,30",我说的都是真的,"喜剧,动作,悬疑"
"孟瑞,吴昊泽,赵闪闪,刘恩诚",,孙承志,"2018,11,02",药仙,"剧情,奇幻"
"滕艺,吴铭,宋禹,李恒",453万,王虎,"2018,08,28",李学生,"剧情,传记"
"陈浩民,林子聪,范梦",,"项秋良,项河生","2018,03,02",齐天大圣·万妖之城,"喜剧,动作,奇幻"
,,"山新,咩咩,小连杀,皇贞季,谢昀杉","2018,06,28",精灵梦叶罗丽6,"动画,家庭,奇幻,冒险"
"文松,修睿,李天佑",311万,"陈晨,周英男","2018,04,29",尖叫直播,喜剧
"张星阑,刘国光,宋天湙,艾尚絮",254万,陆诗雨,"2018,06,08",恐怖浴室,"恐怖,惊悚"
"程启蒙,杨琪芳,姜振昊,刘奕",,王威,"2018,10,30",狄仁杰之异虫谜案,"悬疑,古装"
"道恩·强森,凯文·哈特,杰克·布莱克,凯伦·吉兰",4.92亿,杰克·卡斯丹,"2018,01,12",勇敢者游戏：决战丛林,"动作,冒险"
"陈奕迅,李荣浩,李一桐,陈国坤",3928万,谷德昭,"2018,01,12",卧底巨星,"喜剧,动作"
"居文沛,季晓,闫美伊,唐小然",,张一墨,"2018,10,12",不一样的焰火,剧情
"杜安琪,赵东昊",,张耘海,"2018,11,02",守墓人之海昏侯迷踪,"动作,奇幻,冒险"
"连姆·尼森,维拉·法梅加,帕特里克·威尔森,乔纳森·班克斯",4540万,佐米·希尔拉,"2018,03,30",通勤营救,"剧情,动作,悬疑"
"阿克谢·库玛尔,布米·佩德卡尔,阿努潘·凯尔,萨钦·克德卡",9461万,什里·那拉扬·辛,"2018,06,08",厕所英雄,"剧情,爱情"
,,"郭德纲,于谦,孙越,郭麒麟,张云雷","2018,02,08",德云社丁酉年封箱庆典2018,曲艺
"王学兵,马伊琍,朱耕佑,王旭峰",745万,唐高鹏,"2018,09,14",未择之路,"剧情,冒险"
"吴超,海尔夫,王力可,吕聿来",21万,张罗平,"2018,10,19",向阳的日子,剧情
"王昱珩,袁硕",,李晓,"2018,06,21",行走山河之北纬三十度,纪录片
"林永健,颜丹晨,尤勇智,吴军",733万,赵琦,"2018,07,25",李保国,"剧情,传记"
,,,"2018,10,30",狙击者,"犯罪,动作"
"阿格莱亚·塔拉索娃,亚历山大·佩特罗夫,米洛斯·比柯维奇,瑟妮娅·拉芙洛娃-格林卡",1717万,奥列格·特罗费姆,"2018,03,30",花滑女王,"剧情,喜剧,爱情"
,2061万,陈设,"2018,06,01",魔镜奇缘2,"动画,冒险,家庭"
"郑岚,修睿,赵亮,宋祉璇",11万,姜大伟,"2018,07,12",格桑花开的时候,剧情
"于洋,王晓棠,王心刚",528万,"崔永元,麦丽丝","2018,07,06",您一定不要错过,纪录片
"韩朴俊,朱颜曼滋,李心敏,韩秋池",,马小刚,"2018,05,11",罪途1之死亡列车,"剧情,悬疑,犯罪"
,,王子清,2018,笔仙大战贞子3结盟,"惊悚,恐怖"
"李畅,郝星棋,褚栓忠,王建国",137万,徐啸力,"2018,05,18",荒城纪,剧情
,,"句兆杰,郭志桐,文祥","2018,03,05",夜行夜珍惜,爱情
,,"陈碧舸,大张伟,柳岩,沈凌,李斯羽","2018,06,06",进击女神,真人秀
"朱桢,黄薇,姚明,田华",,焦波,"2018,05,12",川流不息,纪录片
,,"洪宏星,任梦,范宇,陈东熠","2018,01,20",越野英雄,真人秀
"陈伟霆,林允,胡军,倪大红",3807万,哈斯朝鲁,"2018,04,28",战神纪,"爱情,动作,冒险"
"李书晨,卫永绍,毕东林,马有贯",,杨瑾,"2013,11",有人赞美聪慧，有人则不,"动画,家庭"
"杨紫嫣,马浚伟,程小龙,王卫国",2万,左伟晨,"2018,03,08",对戒,"剧情,爱情"
"刘泳希,黄靖翔,赵时",,杨斌,"2018,03,15",同居男女异星汪,"奇幻,冒险"
,,疯子,"2018,11,01",神魔,"爱情,奇幻"
