['饥饿游戏3：嘲笑鸟（上）'],['弗朗西斯·劳伦斯'],"['詹妮弗·劳伦斯', '乔什·哈切森', '利亚姆·海姆斯沃斯', '伍迪·哈里森']","['动作,冒险,科幻']","['2015', '02', '08']",['2.24亿']
['分手再说我爱你'],['叶念琛'],"['方力申', '邓丽欣', '李丽珍', '邵仲衡']","['喜剧,爱情']","['2015', '12', '24']",['1268万']
['第三种爱情'],['李宰汉'],"['刘亦菲', '宋承宪', '欧弟', '孟佳']",['爱情'],"['2015', '09', '25']",['7325万']
['洛克王国4：出发！巨人谷'],"['乌格斯·马特尔', '曹东飈']","['陶典', '关晓彤', '林颖']",['动画'],"['2015', '08', '13']",['7698万']
['坚不可摧'],['安吉丽娜·朱莉'],"['杰克·奥康奈尔', '加内特·赫德兰', '芬·维特洛克', '多姆纳尔·格里森']","['战争,运动,传记']","['2015', '01', '30']",['3675万']
['行尸崛起之丧尸新娘'],['李锦伦'],['何佳颖'],"['爱情,惊悚,恐怖,短片,奇幻']","['2015', '12', '14']",[]
['一万年以后'],['易立'],"['珠玛', '亚拉亚姆', '王翀', '滕梦乔']","['动画,动作,奇幻']","['2015', '03', '27']",['2744万']
['史努比：花生大电影'],['史蒂夫·马蒂诺'],"['诺亚·施纳普', '比尔·莫伦茨', '弗朗西斯卡·卡帕尔迪', '马里埃尔·希茨']","['喜剧,动画,冒险']","['2015', '11', '06']",['3667万']
['恋爱中的城市'],"['文牧野', '董润年']","['杨幂', '郑开元', '江疏影']","['剧情,爱情']","['2015', '08', '20']",['5365万']
['超能查派'],['尼尔·布洛姆坎普'],"['沙尔托·科普雷', '忍者', '尤兰蒂·维瑟', '何塞·巴勃罗·坎蒂略']","['动作,科幻,犯罪']","['2015', '05', '08']",['1.04亿']
['极限挑战 番外篇 终极之战'],"['任静', '严敏']","['黄渤', '黄磊', '孙红雷']",['真人秀'],"['2015', '10', '05']",[]
['宅女侦探桂香'],['彭顺'],"['周渝民', '王珞丹', '任达华', '天心']","['喜剧,爱情,悬疑']","['2015', '08', '13']",['4137万']
['美人鱼之海盗来袭'],['邱浩强'],"['李思娴', '郭亚维', '宋磊', '申克']","['喜剧,动画,冒险']","['2015', '07', '31']",['1736万']
['从天儿降'],"['魏民', '魏楠']","['陈学冬', '张艺兴', '姜雯']","['喜剧,科幻,爱情']","['2015', '12', '04']",['5649万']
['原罪少女'],['黄国睿'],[],['剧情'],"['2015', '11', '17']",[]
['咱们结婚吧'],['刘江'],"['高圆圆', '姜武', '李晨', '郑恺']","['剧情,爱情']","['2015', '04', '02']",['2.84亿']
['小羊肖恩'],"['马克·伯顿', '理查德·斯塔扎克']","['约翰·斯帕克斯', '贾斯汀·弗莱彻', '欧米德·吉亚李利']","['喜剧,动画,冒险']","['2015', '07', '17']",['5379万']
['丧尸屠城'],['戴金垸'],[],['恐怖'],"['2015', '11', '10']",[]
['三只小猪与神灯'],['刘炜'],"['李晔', '王晓彤', '洪海天', '王燕华']","['动画,喜剧,冒险']","['2015', '06', '27']",['2382万']
['杜拉拉追婚记'],['安竹间'],"['周渝民', '林依晨', '陈柏霖', '林珍娜']","['喜剧,爱情']","['2015', '12', '04']",['4960万']
['一路向前'],['侯亮'],"['陈赫', '常远', '姚星彤', '张佑赫']",['喜剧'],"['2015', '08', '06']",['571万']
['喜马拉雅天梯'],"['萧寒', '梁君健']","['索朗多吉', '普布顿珠', '次仁多布杰']",['纪录片'],"['2015', '10', '16']",['1156万']
['长江7号：超萌特攻队'],['简耀宗'],"['石班瑜', '徐娇', '林簌', '郝鹏']","['动画,喜剧,家庭']","['2015', '09', '26']",['833万']
['王朝的女人·杨贵妃'],['十庆'],"['范冰冰', '黎明', '吴尊', '吴刚']","['爱情,古装']","['2015', '07', '30']",['1.34亿']
['东莞女孩'],"['方义华', '董振业']","['解惠清', '刘之冰', '茹萍']",['剧情'],"['2015', '09', '11']",['10万']
['冲锋车'],['刘浩良'],"['吴镇宇', '任达华', '古巨基', '郑浩南']","['动作,犯罪']","['2015', '04', '03']",['2092万']
['公主'],['李凯诗'],[],"['剧情,喜剧,爱情,情色']","['2015', '05']",[]
['爸爸的假期'],['王岳伦'],"['郭涛', '郭子睿', '林志颖', '小小志']","['喜剧,家庭']","['2015', '02', '19']",['1.15亿']
['有种你爱我'],['李欣蔓'],"['郑恺', '江一燕', '于笑', '于嘉萌']","['剧情,喜剧,爱情']","['2015', '02', '06']",['6767万']
['魔镜奇缘'],['郑成峰'],"['琪琪', '王琪', '孙科', '叶芳']","['动画,冒险,奇幻']","['2015', '09', '03']",['1600万']
['将错就错'],['王宁'],"['小沈阳', '田亮', '陈小春', '熊黛林']","['喜剧,爱情']","['2015', '03', '05']",['3908万']
['半夜叫你别回头'],"['陆诗雨', '陆诗雷']","['殷果儿', '郭云齐', '宋嘉豪']","['恐怖,惊悚']","['2015', '10', '30']",['853万']
['新娘大作战'],['陈国辉'],"['杨颖', '倪妮', '陈晓', '朱亚文']","['喜剧,爱情']","['2015', '08', '20']",['1.73亿']
